,,,,,,,,,,,,
Current Portfolio returns calculation detail,,,,,,,,,,,,
,,,,,,,,,,,,
Current Portfolio returns summary,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,Return,,,,,,
Total,Total Bought,Total shares,Current Price,Current Value,Capital Gains,Dividends,Total Gain inc Currency,Avg Years,Total Return,,
NasdaqGS:GOOG,3634.35,3.00,1496.00,4488.00,853.65,0.00,853.65,0.25,23.49%,,,
NYSE:BAC,696.08,28.00,23.10,646.80,-49.28,5.04,-44.24,0.25,-6.36%,,,
NasdaqGS:INO,381.64,47.00,23.46,1102.62,720.98,0.00,720.98,0.25,188.92%,,,
NYSE:PG,15708.42,137.00,122.89,16835.93,1127.51,108.33,1235.84,0.25,7.87%,,,
NYSE:JNJ,988.61,7.00,143.27,1002.89,14.28,7.07,21.35,0.25,2.16%,,,
NYSE:RH,5151.30,42.00,265.34,11144.28,5992.98,0.00,5992.98,0.25,116.34%,,,
NYSE:T,737.52,24.00,30.46,731.04,-6.48,0.00,-6.48,0.25,-0.88%,,,
NYSE:WMT,3166.80,26.00,124.44,3235.44,68.64,14.04,82.68,0.25,2.61%,,,
NYSE:KMB,4602.15,35.00,143.35,5017.25,415.10,37.45,452.55,0.25,9.83%,,,
NYSE:GIS,459.20,8.00,62.94,503.52,44.32,0.00,44.32,0.25,9.65%,,,
NasdaqGS:NVDA,1577.70,6.00,408.64,2451.84,874.14,0.96,875.10,0.25,55.47%,,,
,,,,,,,,,,,,
Total,37103.77,363.00,,47159.61,10055.84,172.89,10228.73,,27.57%,,,
,,,,Total Return,27.10%,0.47%,27.57%,,,,,
,,,,CAGR,161.66%,3.87%,165.53%,0.25,,,,
,,,,,,,,,,,,
NasdaqGS:GOOG - Alphabet,,,,,,,,,,,,
Ticker,Transaction Type,Ex date,Date,PriceAmount,Shares,Bought,Sold,Dividend,Years,,
NasdaqGS:GOOG,Buy,,2020-04-09,1211.450,3.00,3634.35,,,0.25,,,
Totals,,,,,,3634.35,0.00,0.00,0.25,,,
,,,,,,,,,,,,
Current Position,,,,,,Return,,,,,,
Net original cost,Total shares,Current Price,Current Value,,,Capital Gain,Dividends,Currency,Total Gain,,
3634.35,3.00,1496.000,4488.00,,,853.65,0.00,0.00,853.65,,,
,,,,,,23.49%,0.00%,0.00%,23.49%,,,
,,,,,,,,,,,,
,,,,,,,Avg. Investment Period,,0.25,,,
,,,,,,,Total Return,,23.49%,,,
,,,,,,,CAGR,,23.49%,,,
,,,,,,,,,,,,
NYSE:BAC - Bank of America,,,,,,,,,,,,
Ticker,Transaction Type,Ex date,Date,PriceAmount,Shares,Bought,Sold,Dividend,Years,,
NYSE:BAC,Buy,,2020-04-09,24.860,28.00,696.08,,,0.25,,,
NYSE:BAC,Dividend payment - Quarterly,2020-06-04,2020-06-26,0.180,28.00,,,5.040,,,,
Totals,,,,,,696.08,0.00,5.04,0.25,,,
,,,,,,,,,,,,
Current Position,,,,,,Return,,,,,,
Net original cost,Total shares,Current Price,Current Value,,,Capital Gain,Dividends,Currency,Total Gain,,
696.08,28.00,23.100,646.80,,,-49.28,5.04,-0.00,-44.24,,,
,,,,,,-7.08%,0.72%,-0.00%,-6.36%,,,
,,,,,,,,,,,,
,,,,,,,Avg. Investment Period,,0.25,,,
,,,,,,,Total Return,,-6.36%,,,
,,,,,,,CAGR,,-6.36%,,,
,,,,,,,,,,,,
NasdaqGS:INO - Inovio Pharmaceuticals,,,,,,,,,,,,
Ticker,Transaction Type,Ex date,Date,PriceAmount,Shares,Bought,Sold,Dividend,Years,,
NasdaqGS:INO,Buy,,2020-04-09,8.120,47.00,381.64,,,0.25,,,
Totals,,,,,,381.64,0.00,0.00,0.25,,,
,,,,,,,,,,,,
Current Position,,,,,,Return,,,,,,
Net original cost,Total shares,Current Price,Current Value,,,Capital Gain,Dividends,Currency,Total Gain,,
381.64,47.00,23.460,1102.62,,,720.98,0.00,-0.00,720.98,,,
,,,,,,188.92%,0.00%,-0.00%,188.92%,,,
,,,,,,,,,,,,
,,,,,,,Avg. Investment Period,,0.25,,,
,,,,,,,Total Return,,188.92%,,,
,,,,,,,CAGR,,188.92%,,,
,,,,,,,,,,,,
NYSE:PG - Procter  Gamble,,,,,,,,,,,,
Ticker,Transaction Type,Ex date,Date,PriceAmount,Shares,Bought,Sold,Dividend,Years,,
NYSE:PG,Buy,,2020-04-09,114.660,137.00,15708.42,,,0.25,,,
NYSE:PG,Dividend payment - Quarterly,2020-04-23,2020-05-15,0.791,137.00,,,108.326,,,,
Totals,,,,,,15708.42,0.00,108.33,0.25,,,
,,,,,,,,,,,,
Current Position,,,,,,Return,,,,,,
Net original cost,Total shares,Current Price,Current Value,,,Capital Gain,Dividends,Currency,Total Gain,,
15708.42,137.00,122.890,16835.93,,,1127.51,108.33,-0.00,1235.84,,,
,,,,,,7.18%,0.69%,-0.00%,7.87%,,,
,,,,,,,,,,,,
,,,,,,,Avg. Investment Period,,0.25,,,
,,,,,,,Total Return,,7.87%,,,
,,,,,,,CAGR,,7.87%,,,
,,,,,,,,,,,,
NYSE:JNJ - Johnson  Johnson,,,,,,,,,,,,
Ticker,Transaction Type,Ex date,Date,PriceAmount,Shares,Bought,Sold,Dividend,Years,,
NYSE:JNJ,Buy,,2020-04-09,141.230,7.00,988.61,,,0.25,,,
NYSE:JNJ,Dividend payment - Quarterly,2020-05-22,2020-06-09,1.010,7.00,,,7.070,,,,
Totals,,,,,,988.61,0.00,7.07,0.25,,,
,,,,,,,,,,,,
Current Position,,,,,,Return,,,,,,
Net original cost,Total shares,Current Price,Current Value,,,Capital Gain,Dividends,Currency,Total Gain,,
988.61,7.00,143.270,1002.89,,,14.28,7.07,-0.00,21.35,,,
,,,,,,1.44%,0.72%,-0.00%,2.16%,,,
,,,,,,,,,,,,
,,,,,,,Avg. Investment Period,,0.25,,,
,,,,,,,Total Return,,2.16%,,,
,,,,,,,CAGR,,2.16%,,,
,,,,,,,,,,,,
NYSE:RH - RH,,,,,,,,,,,,
Ticker,Transaction Type,Ex date,Date,PriceAmount,Shares,Bought,Sold,Dividend,Years,,
NYSE:RH,Buy,,2020-04-09,122.650,42.00,5151.30,,,0.25,,,
Totals,,,,,,5151.30,0.00,0.00,0.25,,,
,,,,,,,,,,,,
Current Position,,,,,,Return,,,,,,
Net original cost,Total shares,Current Price,Current Value,,,Capital Gain,Dividends,Currency,Total Gain,,
5151.30,42.00,265.340,11144.28,,,5992.98,0.00,0.00,5992.98,,,
,,,,,,116.34%,0.00%,0.00%,116.34%,,,
,,,,,,,,,,,,
,,,,,,,Avg. Investment Period,,0.25,,,
,,,,,,,Total Return,,116.34%,,,
,,,,,,,CAGR,,116.34%,,,
,,,,,,,,,,,,
NYSE:T - ATT,,,,,,,,,,,,
Ticker,Transaction Type,Ex date,Date,PriceAmount,Shares,Bought,Sold,Dividend,Years,,
